tsla,tsla_exponential_moving_average_5,tsla_sortino_ratio_5,tsla_exponential_moving_average_10,tsla_exponential_moving_average_21
38.732666015625,35.63908145972026,0.05543807658654976,32.83866790551799,29.90558417368769
42.72066879272461,36.5558627851884,0.2300792566355295,33.50642856420676,30.37099255537778
43.37133407592773,37.43818356502375,0.03392016105441338,34.17263003334349,30.84131866522744
52.0,39.32331755936457,0.4446951932834634,35.37587602811116,31.60396779375383
59.13733291625977,41.88836697797888,0.3067575644002976,36.97879389429283,32.59285142602075
48.97999954223633,42.80641728406666,-0.1729355224274928,37.78798216656719,33.17938728937746
49.93066787719727,43.72868464831821,0.04326315589460145,38.60633453985015,33.77696984953067
49.87133407592773,44.52387503238163,-0.001318157106737242,39.36521099040191,34.34928305853047
51.41866683959961,45.41642918660763,0.06923801817947085,40.17687874348676,34.95439702974642
51.62533187866211,46.22018949621962,0.008852515241479167,40.94751953672678,35.54362877799933
